Circuit: * F:\Users\Aaron\Documents\UAkron\2019-20\Phys Elec\Project 3\VoltageGainStageTest.asc

Direct Newton iteration for .op point succeeded.
.step vsig=0.002828
.step vsig=0.00317307
.step vsig=0.00356024
.step vsig=0.00399466
.step vsig=0.00448208
.step vsig=0.00502897
.step vsig=0.0056426
.step vsig=0.0063311
.step vsig=0.00710361
.step vsig=0.00797039
.step vsig=0.00894292
.step vsig=0.0100341
.step vsig=0.0112585
.step vsig=0.0126322
.step vsig=0.0141736
.step vsig=0.015903
.step vsig=0.0178435
.step vsig=0.0200207
.step vsig=0.0224636
.step vsig=0.0252046
.step vsig=0.02828
.step vsig=0.0317307
.step vsig=0.0356024
.step vsig=0.0399466
.step vsig=0.0448208
.step vsig=0.0502897
.step vsig=0.056426
.step vsig=0.063311
.step vsig=0.0710361
.step vsig=0.0797039
.step vsig=0.0894292
.step vsig=0.100341
.step vsig=0.112585
.step vsig=0.126322
.step vsig=0.141736
.step vsig=0.15903
.step vsig=0.178435
.step vsig=0.200207
.step vsig=0.224636
.step vsig=0.252046
.step vsig=0.2828
.step vsig=0.317307
.step vsig=0.356024
.step vsig=0.399466
.step vsig=0.448208
.step vsig=0.502897
.step vsig=0.56426
.step vsig=0.5656


Measurement: voutrms
  step	RMS(v(out))	FROM	TO
     1	0.0212319	0	0.0114667
     2	0.0238225	0	0.0114667
     3	0.0267293	0	0.0114667
     4	0.0299908	0	0.0114667
     5	0.0336502	0	0.0114667
     6	0.0377562	0	0.0114667
     7	0.0423631	0	0.0114667
     8	0.0475322	0	0.0114667
     9	0.0533319	0	0.0114667
    10	0.0598394	0	0.0114667
    11	0.0671408	0	0.0114667
    12	0.0753331	0	0.0114667
    13	0.084525	0	0.0114667
    14	0.0948385	0	0.0114667
    15	0.10641	0	0.0114667
    16	0.119394	0	0.0114667
    17	0.133962	0	0.0114667
    18	0.150307	0	0.0114667
    19	0.168646	0	0.0114667
    20	0.189223	0	0.0114667
    21	0.21231	0	0.0114667
    22	0.238213	0	0.0114667
    23	0.267276	0	0.0114667
    24	0.299883	0	0.0114667
    25	0.336467	0	0.0114667
    26	0.377512	0	0.0114667
    27	0.423561	0	0.0114667
    28	0.475223	0	0.0114667
    29	0.533181	0	0.0114667
    30	0.598199	0	0.0114667
    31	0.671133	0	0.0114667
    32	0.752943	0	0.0114667
    33	0.844701	0	0.0114667
    34	0.947576	0	0.0114667
    35	1.063	0	0.0114667
    36	1.19238	0	0.0114667
    37	1.33741	0	0.0114667
    38	1.49991	0	0.0114667
    39	1.68189	0	0.0114667
    40	1.88562	0	0.0114667
    41	2.11353	0	0.0114667
    42	2.3683	0	0.0114667
    43	2.6523	0	0.0114667
    44	2.96852	0	0.0114667
    45	3.28238	0	0.0114667
    46	3.55803	0	0.0114667
    47	3.82073	0	0.0114667
    48	3.8259	0	0.0114667

Measurement: gain
  step	PP(0.5*v(out)/vsig)	FROM	TO
     1	10.6275	0	0.0114667
     2	10.6275	0	0.0114667
     3	10.6275	0	0.0114667
     4	10.6275	0	0.0114667
     5	10.6275	0	0.0114667
     6	10.6275	0	0.0114667
     7	10.6275	0	0.0114667
     8	10.6274	0	0.0114667
     9	10.6274	0	0.0114667
    10	10.6274	0	0.0114667
    11	10.6274	0	0.0114667
    12	10.6274	0	0.0114667
    13	10.6274	0	0.0114667
    14	10.6274	0	0.0114667
    15	10.6273	0	0.0114667
    16	10.6273	0	0.0114667
    17	10.6272	0	0.0114667
    18	10.6272	0	0.0114667
    19	10.6271	0	0.0114667
    20	10.627	0	0.0114667
    21	10.6269	0	0.0114667
    22	10.6268	0	0.0114667
    23	10.6266	0	0.0114667
    24	10.6263	0	0.0114667
    25	10.6261	0	0.0114667
    26	10.6257	0	0.0114667
    27	10.6252	0	0.0114667
    28	10.6246	0	0.0114667
    29	10.6239	0	0.0114667
    30	10.6229	0	0.0114667
    31	10.6218	0	0.0114667
    32	10.6202	0	0.0114667
    33	10.6183	0	0.0114667
    34	10.6165	0	0.0114667
    35	10.6129	0	0.0114667
    36	10.6088	0	0.0114667
    37	10.6036	0	0.0114667
    38	10.5971	0	0.0114667
    39	10.589	0	0.0114667
    40	10.5783	0	0.0114667
    41	10.5638	0	0.0114667
    42	10.5437	0	0.0114667
    43	10.5171	0	0.0114667
    44	10.4778	0	0.0114667
    45	10.0559	0	0.0114667
    46	9.44956	0	0.0114667
    47	8.83393	0	0.0114667
    48	8.82052	0	0.0114667


Date: Wed Dec 04 20:06:54 2019
Total elapsed time: 1.032 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 4385
traniter = 4381
tranpoints = 1848
accept = 1292
rejected = 556
matrix size = 13
fillins = 0
solver = Normal
Matrix Compiler1: 710 bytes object code size  0.2/0.1/[0.1]
Matrix Compiler2: 1.04 KB object code size  0.1/0.1/[0.1]

